SMILES,pIC50
Cc1ccc2c(n1)N(C)CCN(Cc1ccco1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.569
C#CC(C)=CCN1Cc2cccc3nc(O)n(c23)CC1C,9.031
COC1(COc2cc(F)cc3ccc(-c4nnc5ccccn45)nc23)CCCNCC1,8.512
O=C(O)c1ccc(Oc2ccc3c(c2)C[C@@H](NC[C@H](O)c2cccc(Cl)c2)CCC3)cc1,8.289
CC(=O)Nc1cncc(-c2cccc(C(=O)N(C)C)c2)n1,7.172
O=c1c(-c2cc[nH]n2)n[nH]c2c(-c3ccccn3)cnn12,7.112
Cc1[nH]c(-c2ccccc2)nc1C(=O)O,6.787
NC(=O)C1CCCN1C(=O)c1cccc2c1OCO2,6.425
COc1cccc(Nc2cc(NC(=O)CCCC(=O)O)ncn2)c1,6.34
C[C@H]1NC(=O)c2[nH]c3ccccc3c2-c2ccccc21,6.319
