SMILES,pIC50
C#CC(C)=CCN1Cc2cccc3nc(O)n(c23)CC1C,11.964
Cc1ccc2c(n1)N(C)CCN(Cc1ccco1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,11.803
COC1(COc2cc(F)cc3ccc(-c4nnc5ccccn45)nc23)CCCNCC1,10.802
O=C(O)c1ccc(Oc2ccc3c(c2)C[C@@H](NC[C@H](O)c2cccc(Cl)c2)CCC3)cc1,10.413
C[C@H]1NC(=O)c2[nH]c3ccccc3c2-c2ccccc21,10.31
Cc1coc2cc3oc(C(=O)N4CCc5ccccc5C4)c(C)c3cc12,9.901
C=C1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@H](O)C[C@]12C,9.652
CCn1c(NC(=O)c2[nH]nc3ccccc23)nc2ccccc21,9.563
O=C(O)c1cc2cc(CCc3ccccc3C(=O)O)ccc2cc1O,9.242
C=CC[C@@]12CCN[C@@H]1n1c3nc4ccccc4cc3c(=O)c3cccc2c31,8.992
