SMILES,pIC50
C#CC(C)=CCN1Cc2cccc3nc(O)n(c23)CC1C,11.877
COC1(COc2cc(F)cc3ccc(-c4nnc5ccccn45)nc23)CCCNCC1,11.644
O=C(O)c1ccc(Oc2ccc3c(c2)C[C@@H](NC[C@H](O)c2cccc(Cl)c2)CCC3)cc1,11.328
Cc1ccc2c(n1)N(C)CCN(Cc1ccco1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,11.039
COc1ncc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C)CC5)c4)c3c2)cc1C(F)(F)F,9.569
C=CC[C@@]12CCN[C@@H]1n1c3nc4ccccc4cc3c(=O)c3cccc2c31,9.386
CN(C)C1(Cc2ccccc2)CCN(c2cc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3ncccc23)CC1,8.759
Cc1ccc(C)c(N2CCN(C(=O)C3CCN(C(=O)c4cc5sccc5n4C)CC3)CC2)c1,8.727
O=C1NCc2c1cc(O[C@@H]1CCN(C(=O)C3CCOCC3)C1)cc2-c1cc(O)cc(F)c1,8.535
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2OC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,8.511
